ID,Date,Operation Type (purchase / relocation),Product,Quantity,Cost Price,Total,Supplier,Store
80117,01.01.2017, Purchase, Phone Type 9, HP,3,246,738,11
80117,01.01.2017, Purchase, Headphones Type 6, HP,4,39,156,11
80117,01.01.2017, Purchase, Hard Drive Type 4, HP,1,59,59,11
80117,01.01.2017, Purchase, Smart Watch Type 1, HP,2,264,528,11
80117,01.01.2017, Purchase, Hard Drive Type 4, Dell,5,61,305,11
80117,01.01.2017, Purchase, Keyboard Type 3, Dell,2,17,34,11
80117,01.01.2017, Purchase, Smart Watch Type 2, Dell,2,154,308,11
80117,01.01.2017, Purchase, Tablet Type 1, Dell,5,330,1650,11
80117,01.01.2017, Purchase, Memory Type 1, HP,4,33,132,11
80117,01.01.2017, Purchase, Speakers Type 4, Huawei,4,46,184,11
80117,01.01.2017, Purchase, Desktop Type 7, Dell,4,447,1788,11
80117,01.01.2017, Purchase, Laptop Type 6, Huawei,3,855,2565,11
80117,01.01.2017, Purchase, Speakers Type 2, Huawei,2,42,84,11
80117,01.01.2017, Purchase, Desktop Type 5, Dell,1,231,231,11
80117,01.01.2017, Purchase, Headphones Type 4, Samsung,5,27,135,11
80117,01.01.2017, Purchase, Speakers Type 1, Huawei,4,50,200,11
80117,01.01.2017, Purchase, Mouse Type 7, Dell,3,10,30,11
80117,01.01.2017, Purchase, Tablet Type 7, Huawei,2,168,336,11
80117,01.01.2017, Purchase, Tablet Type 1, Samsung,3,370,1110,11
80117,01.01.2017, Purchase, Laptop Type 3, Huawei,1,1466,1466,11
80117,01.01.2017, Purchase, Desktop Type 6, HP,4,336,1344,11
80117,01.01.2017, Purchase, Headphones Type 2, Samsung,4,37,148,11
80117,01.01.2017, Purchase, Monitor Type 4, HP,1,146,146,11
80117,01.01.2017, Purchase, Phone Type 7, Huawei,1,387,387,11
80117,01.01.2017, Purchase, Memory Type 4, Huawei,2,50,100,11
80117,01.01.2017, Purchase, Speakers Type 3, Huawei,3,71,213,11
80117,01.01.2017, Purchase, Smart Watch Type 3, HP,5,132,660,11
80117,01.01.2017, Purchase, Memory Type 4, Samsung,3,53,159,11
80118,01.01.2017, Purchase, Phone Type 9, Dell,3,258,774,11
80118,01.01.2017, Purchase, Tablet Type 4, Samsung,5,342,1710,11
80118,01.01.2017, Purchase, Speakers Type 5, Huawei,1,61,61,11
80118,01.01.2017, Purchase, Phone Type 4, Dell,1,336,336,11
80118,01.01.2017, Purchase, Phone Type 9, Huawei,3,261,783,11
80118,01.01.2017, Purchase, Phone Type 7, HP,1,402,402,11
80118,01.01.2017, Purchase, Headphones Type 2, HP,1,33,33,11
80118,01.01.2017, Purchase, Memory Type 3, Samsung,3,29,87,11
80118,01.01.2017, Purchase, Hard Drive Type 1, Samsung,3,48,144,11
80118,01.01.2017, Purchase, Desktop Type 8, HP,3,374,1122,11
80118,01.01.2017, Purchase, Desktop Type 10, HP,1,315,315,11
80118,01.01.2017, Purchase, Hard Drive Type 2, HP,2,34,68,11
80118,01.01.2017, Purchase, Charger Type 2, HP,2,9,18,11
80118,01.01.2017, Purchase, Desktop Type 12, Huawei,2,168,336,11
80118,01.01.2017, Purchase, Desktop Type 4, Huawei,2,360,720,11
80118,01.01.2017, Purchase, Phone Type 2, Samsung,4,208,832,11
80118,01.01.2017, Purchase, Desktop Type 9, Huawei,2,432,864,11
80118,01.01.2017, Purchase, Desktop Type 11, HP,5,298,1490,11
80118,01.01.2017, Purchase, Mouse Type 2, Samsung,2,7,14,11
80118,01.01.2017, Purchase, Microphone Type 3, Samsung,1,31,31,11
80118,01.01.2017, Purchase, Hard Drive Type 8, Samsung,3,92,276,11
80119,01.01.2017, Purchase, Headphones Type 3, Huawei,1,42,42,11
80119,01.01.2017, Purchase, Mouse Type 1, Huawei,2,4,8,11
80119,01.01.2017, Purchase, Desktop Type 1, HP,1,406,406,11
80119,01.01.2017, Purchase, Phone Type 1, Dell,1,215,215,11
80120,01.01.2017, Purchase, Desktop Type 7, HP,5,406,2030,11
80120,01.01.2017, Purchase, Monitor Type 2, HP,1,76,76,11
80120,01.01.2017, Purchase, Desktop Type 1, Dell,4,419,1676,11
80120,01.01.2017, Purchase, Memory Type 2, Dell,1,82,82,11
80120,01.01.2017, Purchase, Monitor Type 4, Dell,1,148,148,11
80121,01.01.2017, Purchase, Speakers Type 4, HP,2,46,92,11
80121,01.01.2017, Purchase, Mouse Type 3, HP,1,12,12,11
80121,01.01.2017, Purchase, Keyboard Type 2, Samsung,2,13,26,11
80121,01.01.2017, Purchase, Phone Type 12, HP,5,345,1725,11
80121,01.01.2017, Purchase, Hard Drive Type 6, HP,1,77,77,11
80122,01.01.2017, Purchase, Monitor Type 3, Dell,5,133,665,11
80122,01.01.2017, Purchase, Speakers Type 7, Dell,5,29,145,11
80122,01.01.2017, Purchase, Monitor Type 1, Huawei,3,116,348,11
80122,01.01.2017, Purchase, Smart Watch Type 1, Huawei,2,195,390,11
